Time [s]	Whole Image
0.297	217.71
0.308	217.2
0.318	217.16
0.328	216.58
0.339	216.38
0.349	216.12
0.359	215.86
0.37	215.48
0.38	215.39
0.39	214.83
0.401	215.07
0.411	214.29
0.421	214.57
0.432	214.29
0.442	214.37
0.452	213.76
0.463	213.53
0.473	213.39
0.483	212.94
0.494	213.26
0.504	212.56
0.514	212.31
0.525	212.32
0.535	211.84
0.545	211.7
0.556	211.83
0.566	211.68
0.576	211.12
0.587	211.21
0.597	210.95
0.607	210.66
0.617	210.72
0.628	210.56
0.638	210.43
0.648	209.91
0.659	210.03
0.669	210.07
0.679	210.07
0.69	210.11
0.7	209.63
0.71	209.62
0.721	209.52
0.731	209.21
0.741	208.96
0.752	208.64
0.763	208.96
0.773	208.95
0.783	209.01
0.793	208.15
0.804	208.33
0.814	208.35
0.824	208.37
0.835	207.97
0.845	208.19
0.855	207.54
0.866	207.69
0.876	207.99
0.886	207.6
0.897	207.41
0.907	207.49
0.917	207.35
0.928	206.95
0.938	207.37
0.948	206.98
0.958	206.95
0.969	206.89
0.979	206.97
0.989	206.73
1	206.46
1.01	206.51
1.02	206.69
1.031	206.58
1.041	206.58
1.051	206.31
1.062	205.98
1.079	205.76
1.089	205.72
1.1	206.06
1.11	205.96
1.12	206.09
1.13	205.74
1.141	205.98
1.151	206.25
1.161	205.63
1.172	205.46
1.182	205.36
1.192	205.52
1.203	205.5
1.213	205.49
1.223	205.44
1.233	205.65
1.244	205.55
1.254	205.64
1.264	205.42
1.275	205.59
1.285	204.95
1.295	205.18
1.306	205.51
1.316	205.03
1.326	204.89
1.337	204.72
1.347	204.91
1.357	205.01
1.368	204.81
1.378	204.9
1.388	204.62
1.398	204.57
1.415	204.06
1.425	205.02
1.436	204.6
1.446	204.36
1.456	204.61
1.466	204.47
1.477	204.24
1.487	204.26
1.497	204.22
1.508	204.53
1.518	204.36
1.528	204.48
1.539	204.49
1.549	204.51
1.559	204.04
1.57	204.67
1.58	204.22
1.59	204.15
1.601	204.46
1.612	203.73
1.622	203.76
1.632	203.77
1.643	204.03
1.653	203.65
1.663	203.91
1.673	203.98
1.684	203.81
1.694	203.8
1.704	204.22
1.715	203.97
1.725	203.75
1.735	203.68
1.752	203.63
1.762	203.4
1.772	203.48
1.783	203.67
1.793	203.63
1.803	204.01
1.814	203.96
1.824	203.94
1.834	203.78
1.845	203.59
1.855	203.61
1.865	203.6
1.875	203.6
1.886	203.5
1.896	203.6
1.907	203.59
1.917	203.77
1.927	203.3
1.937	203.25
1.948	203.73
1.958	203.56
1.968	203.3
1.979	203.42
1.989	203.59
1.999	203.4
2.01	203.03
2.02	203.45
2.03	203.33
2.041	203.22
2.051	203.52
2.061	203.8
2.072	203.39
2.088	203.08
2.099	203.45
2.109	203.35
2.119	203.57
2.129	203.56
2.14	203.04
2.15	204.45
2.16	210.36
2.171	216.34
2.181	220.26
2.191	223.47
2.201	226.83
2.212	229.08
2.222	231.66
2.232	233.71
2.243	235.87
2.253	237.12
2.263	238.85
2.274	239.27
2.284	239.63
2.294	240.05
2.305	240.05
2.315	239.63
2.325	239.59
2.336	238.92
2.346	237.89
2.356	237.69
2.367	237.57
2.377	237.08
2.387	236.6
2.398	235.97
2.408	235.05
2.424	233.66
2.434	233.12
2.445	233.19
2.455	231.95
2.465	231.4
2.476	231.17
2.486	230.69
2.496	230.4
2.507	229.83
2.517	229.04
2.527	228.42
2.538	227.63
2.548	227.46
2.558	226.63
2.569	226.6
2.579	225.96
2.589	225.23
2.6	224.52
2.61	224.13
2.62	224.35
2.631	223.27
2.641	222.61
2.651	222.57
2.662	222.36
2.672	221.88
2.682	221.51
2.692	220.8
2.703	220.6
2.713	220.05
2.723	219.8
2.734	219.29
2.744	219.12
2.76	218.47
2.771	218.45
2.781	217.95
2.791	217.85
2.802	217.39
2.812	216.79
2.822	216.56
2.833	216.84
2.843	215.97
2.853	216.12
2.863	215.65
2.874	215.49
2.884	215.09
2.894	214.87
2.905	214.72
2.915	214.43
2.925	213.81
2.936	213.81
2.946	213.62
2.956	213.24
2.967	213.21
2.977	213.23
2.987	212.94
2.998	212.59
3.008	212.57
3.018	212.12
3.029	212.26
3.039	211.57
3.049	211.56
3.059	211.13
3.07	211.57
3.08	211.32
3.097	210.72
3.107	210.75
3.117	210.55
3.128	210.41
3.138	210.04
3.148	210.02
3.159	210.42
3.169	210.13
3.179	209.39
3.19	209.64
3.2	209.78
3.21	209.42
3.221	209.57
3.231	209.19
3.241	208.94
3.252	208.76
3.262	208.93
3.272	209.03
3.283	208.64
3.293	208.58
3.303	208.39
3.314	208.68
3.324	208.1
3.334	207.76
3.345	208.21
3.355	208.1
3.365	207.9
3.375	207.64
3.386	207.38
3.396	207.53
3.406	207.4
3.417	207.33
3.427	207.13
3.442	206.83
3.453	206.93
3.463	206.7
3.473	206.95
3.484	206.77
3.494	206.8
3.504	206.49
3.515	206.79
3.525	206.43
3.535	206.88
3.545	206.21
3.556	206.58
3.566	206.59
3.576	206.27
3.587	206.2
3.597	206.29
3.607	206.01
3.618	205.88
3.628	205.96
3.638	205.63
3.649	205.82
3.659	206
3.669	205.59
3.679	205.75
3.69	205.78
3.7	205.53
3.711	205.8
3.721	205.4
3.731	205.69
3.741	205.44
3.752	204.78
3.763	205.29
3.778	204.81
3.788	205.15
3.799	204.86
3.809	204.99
3.819	205.14
3.83	205.26
3.84	205.09
3.85	205.06
3.861	204.77
3.871	205.36
3.881	205.02
3.892	204.84
3.902	204.39
3.912	205.12
3.923	204.62
3.933	204.42
3.943	204.74
3.954	204.36
3.964	204.32
3.974	204.4
3.985	204.56
3.995	204.7
4.005	204.6
4.016	204.12
4.026	204.47
4.036	204.35
4.046	204.07
4.057	204.43
4.067	204.4
4.077	204.23
4.088	204.19
4.098	204.21
4.114	203.62
4.124	203.89
4.134	204.29
4.144	203.98
4.155	204.02
4.165	204.07
4.176	203.47
4.186	203.91
4.196	203.94
4.206	204.04
4.217	203.71
4.227	203.93
4.237	203.79
4.248	203.78
4.258	203.66
4.268	203.95
4.279	203.59
4.289	203.1
4.299	203.69
4.31	203.74
4.32	204.03
4.33	203.9
4.341	203.27
4.351	203.7
4.361	203.44
4.372	203.4
4.382	203.25
4.392	203.5
4.403	203.62
4.413	203.46
4.423	203.31
4.434	203.23
4.45	202.79
4.46	202.9
4.47	203.22
4.481	203.05
4.491	203.51
4.501	203.4
4.512	203.29
4.522	203.24
4.532	203.39
4.543	203.07
4.553	203.25
4.563	203.1
4.574	203.21
4.584	203.17
4.594	203.21
4.605	203.32
4.615	203.16
4.625	203.25
4.636	203.49
4.646	203.39
4.656	207.25
4.667	213.82
4.677	218.61
4.687	221.98
4.698	225.63
4.708	228.33
4.718	230.75
4.729	233.18
4.739	235.22
4.749	236.91
4.759	238.1
4.77	238.67
4.785	239.13
4.796	240.05
4.806	239.59
4.816	239.73
4.827	239.25
4.837	238.81
4.847	238.29
4.858	237.98
4.868	237.21
4.878	236.42
4.889	235.79
4.899	235.57
4.909	234.67
4.92	234.37
4.93	233.71
4.94	233.15
4.951	232.34
4.961	231.94
4.971	231.52
4.982	230.43
4.992	230.25
5.002	229.46
5.013	228.7
5.023	228.21
5.033	227.78
5.044	227.47
5.054	226.94
5.064	226.47
5.074	225.95
5.085	225.4
5.095	225.11
5.106	224.43
5.121	223.37
5.131	223.13
5.142	222.83
5.152	222.62
5.162	222.01
5.173	221.5
5.183	221.39
5.193	220.88
5.204	220.65
5.214	220.39
5.224	219.77
5.235	219.79
5.245	219.15
5.255	218.3
5.266	219.16
5.276	218.3
5.286	217.98
5.297	217.79
5.307	217.15
5.317	217.04
5.328	216.7
5.338	216.44
5.348	216.25
5.359	215.76
5.369	215.43
5.379	215.28
5.39	214.81
5.4	214.73
5.41	214.44
5.42	214.52
5.431	214.22
5.441	213.95
5.456	213.13
5.467	213.75
5.477	213.17
5.487	213.09
5.498	212.75
5.508	212.48
5.518	212.17
5.529	212.07
5.539	211.75
5.549	211.61
5.56	211.57
5.57	211.36
5.58	211.3
5.591	211.32
5.601	211.2
5.611	210.9
5.622	210.51
5.632	210.54
5.642	210.16
5.653	210.24
5.663	210.01
5.673	209.78
5.683	209.77
5.694	209.82
5.704	209.51
5.714	209.54
5.725	209.34
5.735	209.87
5.745	209.17
5.756	208.79
5.766	208.61
5.776	208.49
5.792	208.34
5.802	208.6
5.812	208.23
5.823	208.35
5.833	208.22
5.843	208.1
5.854	208.25
5.864	207.53
5.874	207.84
5.885	207.8
5.895	207.57
5.905	207.39
5.916	207.46
5.926	207.24
5.936	207.49
5.947	207.18
5.957	206.75
5.967	206.65
5.978	207.13
5.988	206.71
5.998	206.54
6.008	206.4
6.019	206.66
6.029	206.66
6.039	206.59
6.05	206.6
6.06	206.31
6.07	206.13
6.081	206.32
6.091	206.42
6.102	206.17
6.112	206.39
6.127	205.52
6.137	205.78
6.148	206.04
6.158	205.73
6.168	205.72
6.179	205.63
6.189	205.5
6.199	204.96
6.21	205.7
6.22	205.47
6.231	205.63
6.241	205.04
6.251	205.32
6.262	205.17
6.272	205.08
6.282	204.93
6.292	204.82
6.303	205.06
6.313	204.91
6.323	204.76
6.334	204.93
6.344	204.95
6.354	204.63
6.365	204.79
6.375	204.93
6.385	204.6
6.396	204.96
6.406	204.57
6.416	204.62
6.427	204.64
6.437	204.59
6.448	204.79
6.463	203.93
6.473	204.18
6.484	204.29
6.494	204.36
6.504	204.4
6.515	204.26
6.525	203.94
6.535	204.24
6.546	204.28
6.556	204.53
6.566	204.22
6.577	204.31
6.587	204.12
6.597	204.31
6.607	204.4
6.618	204.37
6.628	204.06
6.638	204.2
6.649	204.24
6.659	203.89
6.669	204.1
6.68	204.28
6.69	204.01
6.7	204.18
6.711	203.82
6.721	203.89
6.731	203.71
6.742	203.84
6.752	203.8
6.763	203.69
6.773	203.67
6.783	203.83
6.799	203.6
6.809	204.06
6.819	203.55
6.83	203.86
6.84	203.64
6.85	203.58
6.861	203.73
6.871	203.8
6.881	203.86
6.892	203.61
6.902	203.74
6.912	203.73
6.923	203.56
6.933	203.89
6.943	203.84
6.954	203.83
6.964	203.61
6.974	203.49
6.985	203.64
6.995	203.42
7.005	203.37
7.016	203.49
7.026	203.68
7.036	203.57
7.047	203.32
7.057	203.61
7.067	203.2
7.078	203.44
7.088	203.16
7.098	203.24
7.109	203.23
7.119	203.32
7.134	202.94
7.145	203.34
7.155	206.21
7.165	212.83
7.175	218.13
7.186	221.83
7.196	225.04
7.206	227.88
7.217	230.57
7.227	232.61
7.237	234.24
7.248	235.98
7.258	237.69
7.268	239.08
7.279	239.72
7.289	239.62
7.299	240.21
7.31	239.85
7.32	239.75
7.33	239.27
7.341	238.52
7.351	238.27
7.361	237.8
7.372	237.02
7.382	236.59
7.392	236.07
7.403	235.12
7.413	234.51
7.423	234.32
7.434	233.58
7.444	233.13
7.454	232.26
7.47	231.22
7.48	230.99
7.49	230.06
7.501	229.66
7.511	228.97
7.521	228.96
7.532	228.12
7.542	227.7
7.552	226.96
7.563	226.74
7.573	226
7.583	225.79
7.593	225.24
7.604	224.66
7.614	224.34
7.624	223.6
7.635	223.47
7.645	223.05
7.655	222.67
7.666	222.13
7.676	221.61
7.686	221.19
7.696	221.08
7.707	220.68
7.717	220.39
7.727	219.9
7.738	219.77
7.748	218.97
7.758	218.48
7.769	218.25
7.779	218.16
7.789	217.63
7.805	217.07
7.815	216.68
7.825	216.63
7.836	216.64
7.846	216.44
7.856	215.85
7.867	215.62
7.877	215.36
7.887	215.01
7.898	215.01
7.908	214.36
7.918	214.25
7.929	214.27
7.939	214.07
7.949	213.69
7.96	213.46
7.97	213.4
7.98	213.37
7.99	212.79
8.001	212.5
8.011	212.66
8.021	212.6
8.032	212.21
8.042	211.95
8.052	211.93
8.063	211.16
8.073	211.47
8.083	211.13
8.094	211.3
8.104	211.11
8.114	210.56
8.125	210.42
8.14	209.89
8.15	209.85
8.161	209.71
8.171	209.97
8.181	209.61
8.192	209.89
8.202	209.56
8.212	209.59
8.222	209.68
8.233	209.51
8.243	209.05
8.253	208.81
8.264	208.66
8.274	208.79
8.284	208.75
8.295	208.33
8.305	207.98
8.315	208.35
8.326	208.62
8.336	208.02
8.346	208.15
8.356	207.51
8.367	208.11
8.377	207.61
8.387	207.74
8.398	207.27
8.408	207.42
8.418	207.08
8.429	207.14
8.439	207.24
8.449	207.34
8.46	206.81
8.475	206.49
8.486	207.02
8.496	206.88
8.506	206.9
8.517	206.63
8.527	206.32
8.537	206.54
8.547	206.52
8.558	206.07
8.568	206.2
8.578	206.01
8.589	205.84
8.599	206.27
